Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,..,5,5.45455,5.9,7,8.26,11.2,13.5,13.5,13.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,0.114097,49,54.656,57.2,60.1,63.2529,66.3634,71.847,71.847,69.6429,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,0.491706,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,59.5797,59.5797,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,10.5388,81,86.4344,94,95.9,96.91,97.9306,91.5675,91.5675,91.5675,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,0.105046,3.1,6.5,8.9,21.4,12.4,13,14.3391,14.3391,14.3391,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,6.48223,52,58,63.4,67.78,70,73,76,76,76,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,7.03868,51,55.8,59.9,64.7,68.0431,70.969,74.2949,74.2949,74.2949,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,1.30047,32,37.5,41.9,54.6228,59.1024,64.346,64.7449,64.7449,64.7449,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,15.4428,69,74,78.9,83.78,88.6612,93.5425,97.17,97.17,97.17,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585095,46.7561,79.4877,79,83.4535,84,84.5605,86.54,86.545,86.545,86.545,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369,33.7301,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.7105,87.7522,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,0.147758,50,54.2,73,75,77,78.2,79,79.8,79.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,0,8,65,71.7482,72,76.92,78,80,85,85,85,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,0,6.15373,77,88,90,90.5031,93.4783,98,95.8781,98.6434,99.7015,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0,0.0710394,4.5,5,6.63,13.9,14.4,18.02,15,15,12.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,0,3.97368,66.5,71.2,71.8,75.16,76.11,79.5494,81.7608,81.7608,81.7608,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0,1.8604,39.6489,46.91,54.17,59.02,62.2304,71.113,74.4364,79.1299,82.7892,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,0.00100674,29.4317,81.61,80.72,82.1702,85,85.0529,86.5165,87.6797,88.6551,90.3705,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,0,5.96384,30.7,31,33.6,38.7,41.59,44.5757,47.0826,47.0826,47.0826,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0,0.225248,4.14832,4.5,4.9,6,11.255,11.994,20,20,20,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,0,42.9499,88.336,91.2993,95.3,96.8,98.3236,98,98.37,98.37,98.37,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0,0.400944,14.4,15.6,22.4,30.3,39.8,41.7726,48.1064,48.1064,48.1064,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,0,1.44276,30,35.34,36.99,34.6,35.5623,39.6975,43.8323,43.8323,43.8323,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0,1.08296,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,0,2.90267,9,16,30,36.7447,37.3121,39.363,47,47,47,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,0,2.87069,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,67.4713,67.4713,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,0,..,37.4,37.6,37.6,37.6,37.6,77.7014,77.7043,77.7043,77.7043,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,0,8.99628,56,60.2731,64.5,68.77,71.2,90,94.8667,94.6,95,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,0,5.37092,47.98,51.9,53.0615,55.49,56.6563,59.8255,63.4101,64.782,67.947,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0,0.0770802,3,3.72503,9.1,9.4,14,13.96,16,16,16,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0,0.0772484,1.11,1.22,1.26422,1.38,4.86622,5.17363,2.66075,2.66075,2.66075,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,0,1.82244,32,34.74,37.5,40.26,42.68,50.3228,57.1621,58.1714,58.1714,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,0,0.0470226,3.1,4.94,6.8,14,6.43319,32.3985,32.4469,40,40,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,0,0.25212,5,7.5,10,16.2149,20.6801,23.203,23.203,23.203,23.203,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,0.361,51.3,83,83,85.8,87.12,90,91.16,91,91,91,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,0,3.94897,69.4659,69.7,71.4,74.1,77,79,81.0677,81.0677,81.0677,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,0,0.0533942,2.2,3,3.4,3.6,3.8,4,4.33925,4.33925,4.33925,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,0,0.0357071,1.9,2.1,2.5,2.9,3.5,5,6.5,6.5,6.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,0,16.6,52.2496,55.05,58,61.11,76.63,83.5586,82.3275,82.3275,82.3275,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,0,1.77591,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,54.3,54.3,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,0,2.20753,40.3509,48.98,51.7,52.57,55.905,58.1365,62.2599,62.2599,65.0069,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,0,0.271741,5.5,5.9753,6.5,6.98,7.45916,7.93832,8.47817,8.47817,8.47817,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,0,0.00590211,1.2,1.67996,2.2,3,3.8,6.20997,8.6199,8.6199,8.6199,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,0,0.0263547,5.6,6.1067,6.6,7.11,7.61597,8.12195,8.65,8.65,8.65,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,0,5.80025,39.2122,47.5,45.96,53,59.763,65.8804,71.3908,74.0868,81.2026,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,0,0.231462,2.9,5,12,19.2742,38.44,41.2078,43.8399,46.8237,36.4538,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,0,6.64488,57.79,61.94,66.7476,68.57,69.8031,72.6973,67.0962,72.6888,79.0798,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,0,0.541183,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,57.1484,61.8363,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..,..,..,..,61.8555,68.1272,68.1272,68.1272,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,0,15.2554,56.8599,60.6899,65.4548,69.33,71.7159,75.9002,80.7432,84.4336,86.0636,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czech Republic,CZE,0,9.78053,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,0.0972773,39.1724,89.81,92.26,94.6297,95.99,96.3305,96.9678,97.0994,97.6443,98.0464,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,0,0.194501,7,8.26723,9.5,10.71,11.9224,13.1349,55.6814,55.6814,55.6814,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,0,8.81484,48.6,49.8,51,57.5,65,67.03,69.6197,69.6197,69.6197,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,0,3.70469,38,42.32,45.9,49.58,54.2158,63.8709,67.5712,74.8243,74.8243,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,0,1.46219,31.3668,35.1351,40.2791,45.5904,48.9404,54.0629,57.2722,57.2722,57.2722,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,0,0.641265,25.6,26.4,29.4,33.8946,37.8194,41.2481,44.9502,46.9243,57.2829,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,0,1.1774,18.9,20.3214,23.1093,24.7617,26.8026,28.9971,33.8207,33.8207,33.8207,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,0,0.132355,11.5,13.9432,16.4,18.86,21.32,23.78,26.24,26.24,26.24,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0,0.136712,0.7,0.8,0.9,0.99,1.08373,1.17712,1.30891,1.30891,1.30891,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,0,28.577,76.5,78.3899,80.0043,84.2415,88.4097,87.2402,88.1025,89.357,89.5323,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,0,0.926192,18.13,20.7818,24.7,26.175,25.643,28.5735,47,47,47,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,0,0.0152638,1.1,2.9,4.6,7.7,13.8552,15.3669,18.6181,18.6181,18.6181,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,0,32.9164,80.7322,85.3352,90,93.3,94.2,95.1087,97.582,97.582,97.582,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,0,1.49685,28,33.7424,35.2,37.4,42.5,46.507,49.9664,49.9664,49.9664,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,0.401088,37.2485,88.71,89.88,91.5144,86.5304,86.4221,87.7036,87.4689,88.89,89.6074,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,France,FRA,0.0527779,14.3079,77.82,81.44,81.9198,83.75,78.01,79.2698,80.5025,82.0435,83.3397,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,French Polynesia,PYF,0,6.35706,49,52.8766,56.8,60.68,64.5602,68.4404,72.7039,72.7039,72.7039,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gabon,GAB,0,1.21614,18,24,30.538,38.0712,45.7845,48.0523,62,62,62,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Gambia, The",GMB,0,0.921795,10.8703,12.4492,14,15.56,16.5,18.5,19.8365,19.8365,19.8365,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Georgia,GEO,0,0.484746,31.52,36.94,43.3,44,47.5698,58.4593,59.7055,63.9686,68.8467,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Germany,DEU,0.125892,30.2163,81.27,82.35,84.17,86.19,87.5898,84.1652,84.3955,89.7391,88.1345,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ghana,GHA,0,0.153615,9,10.6,15,25.5177,25,34.666,39,39,39,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gibraltar,GIB,0,19.1316,65,65.017,65.017,65.017,65.017,94.4445,94.4445,94.4445,94.4445,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greece,GRC,0,9.13884,51.65,55.07,59.8663,63.21,66.835,69.0879,70.5494,72.9521,75.6712,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greenland,GRL,0,31.7478,64,64.896,65.8,66.7,67.6004,68.5009,69.4825,69.4825,69.4825,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Grenada,GRD,0,4.06391,30,32,35,51.6,53.81,55.8564,59.0717,59.0717,59.0717,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guam,GUM,0,16.1131,57.7,61.5342,65.4,69.27,73.14,77.01,80.5055,80.5055,80.5055,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guatemala,GTM,0,0.712333,12.3,16,19.7,23.4,28.8059,34.5093,65,65,65,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea,GIN,0,0.0954249,2,3.1,4.5,6.4,8.2,9.8,18,18,18,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea-Bissau,GNB,0,0.230103,2.672,2.89399,3.1,3.32,3.54071,3.76141,3.93051,3.93051,3.93051,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guyana,GUY,0,6.61149,30,30.5,31,32,34,35.66,37.3258,37.3258,37.3258,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Haiti,HTI,0,0.231271,9,9.8,10.6,11.4,12.1977,12.2326,12.3261,32.4736,32.4736,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Honduras,HND,0,1.20386,15.9,18.12,17.8,19.08,27.1,29.5,31.7,31.7,31.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Hong Kong SAR, China",HKG,0,27.8278,72.2,72.9,74.2,79.8663,84.9484,87.4794,89.4159,89.4159,91.7434,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Hungary,HUN,0,6.99968,68.02,70.58,72.6439,75.6532,72.8347,79.2594,76.7505,76.0744,80.3717,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,0,44.4705,94.8197,96.2098,96.5468,98.16,98.2,98.24,98.26,99.011,99.011,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,0,0.527532,10.07,12.5801,15.1,21,17,22,34.45,34.45,34.45,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,0,0.925564,12.28,14.52,14.94,17.14,21.9761,25.4474,32.2924,39.7875,47.6906,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,0,0.93419,19,22.73,29.95,39.35,45.335,53.2268,64.044,70.0046,70.0046,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iraq,IRQ,0,..,5,7.1,9.2,13.21,58,21.23,49.36,49.36,49.36,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ireland,IRL,0,17.8505,74.89,76.92,78.2477,83.4917,83.4948,85.0111,84.114,84.5223,84.5223,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Israel,ISR,0.110774,20.8738,68.8739,70.8,70.2503,75.0178,77.3521,79.6531,81.5812,81.5812,86.7879,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Italy,ITA,0.0175446,23.1109,54.39,55.83,58.4593,55.6385,58.1417,61.3243,63.0773,74.3872,74.3872,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jamaica,JAM,0,3.11578,37.4386,33.79,37.1,40.4027,42.2212,44.3669,55.0721,55.0721,55.0721,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Japan,JPN,0.0202937,29.9907,79.0541,79.4964,88.2194,89.1068,91.058,93.1827,84.5881,84.5881,84.5881,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jordan,JOR,0,2.62328,34.9,37,41.4,46.2,60.1144,62.3022,66.7903,66.7903,66.7903,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kazakhstan,KAZ,0,0.668594,50.6,61.9066,63.3042,66,70.8299,74.5877,76.4267,78.9039,81.8776,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kenya,KEN,0,0.31806,8.8,10.5,13,16.5,16.5879,16.6,17.8271,17.8271,22.5651,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kiribati,KIR,0,1.78523,10,10.7468,11.5,12.25,12.9975,13.7,14.5818,14.5818,14.5818,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Dem. People’s Rep.",PRK,0,0,0,0,0,0,0,0,0,..,0,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Rep.",KOR,0.0232651,44.7,83.7591,84.07,84.77,87.5568,89.9,92.843,95.0694,95.8983,96.1576,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,83.8936,89.443,89.443,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kuwait,KWT,0,6.7314,65.7691,70.45,75.46,78.7,72,78.3674,100,99.6,99.5427,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kyrgyz Republic,KGZ,0,1.0414,17.5,19.8,23,28.3,30.247,37,38,38,38,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lao PDR,LAO,0,0.111044,9,10.7477,12.5,14.26,18.2,21.87,25.5104,25.5104,25.5104,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latvia,LVA,0,6.31906,69.75,73.1199,75.2344,75.83,79.2006,79.8421,80.1141,83.5772,86.1355,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lebanon,LBN,0,7.95274,52,61.2498,70.5,73,74,76.11,78.1808,78.1808,78.1808,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lesotho,LSO,0,0.211806,7,10,15,22,25,27.36,29,29,29,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liberia,LBR,0,0.0177027,2.5,2.6,3.2,5.41,33,7.31911,7.98448,7.98448,7.98448,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Libya,LBY,0,0.187043,14,14,16.5,17.76,19.0161,20.2722,21.7589,21.7589,21.7589,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liechtenstein,LIE,0,36.5152,85,89.4077,93.8,95.21,96.6412,98.0939,98.1,98.1,98.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lithuania,LTU,0,6.42707,63.64,67.23,68.4529,72.13,71.378,74.3766,77.6153,79.7226,81.5819,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Luxembourg,LUX,0,22.8873,90.0299,91.9499,93.7765,94.67,96.38,98.1367,97.363,97.0613,97.0613,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Macao SAR, China",MAC,0,13.6086,60.2037,61.31,65.8,69.78,77.6001,81.643,83.1741,83.7941,86.4679,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Madagascar,MDG,0,0.196395,1.9,2.3,3,3.7,4.17397,4.71366,9.8,9.8,9.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malawi,MWI,0,0.126781,3.33,4.3506,5.05,5.83,5.3,11.47,13.7822,13.7822,13.7822,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malaysia,MYS,0,21.3847,61,65.8,57.0575,63.6654,71.0641,78.7883,80.1405,81.2017,84.2132,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Maldives,MDV,0,2.20387,34,38.9301,44.1,49.28,54.462,59.0926,63.1857,63.1857,63.1857,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mali,MLI,0,0.142546,2.2,2.8,3.5,7,10.33,11.1122,13,13,13,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malta,MLT,0,13.1137,68.0198,68.1999,68.9138,73.17,75.96,78.0751,81.0119,81.4031,85.7786,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Marshall Islands,MHL,0,1.53427,10,12.5,14,16.8,19.2824,29.7878,38.7012,38.7012,38.7012,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritania,MRT,0,0.192031,4.5,5,6.2,10.7,15.1991,18,20.801,20.801,20.801,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritius,MUS,0,7.28154,34.95,35.42,40.1168,44.8033,50.1393,52.1913,55.4032,58.5962,63.9999,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mexico,MEX,0,5.08138,37.1763,39.75,43.46,44.39,57.431,59.5404,63.8522,65.7726,70.0699,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Micronesia, Fed. Sts.",FSM,0,3.73486,22.8,25.9744,27.8,29.65,31.5011,33.3522,35.3041,35.3041,35.3041,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Moldova,MDA,0,1.28285,38,43.37,60,67,69,71,76.1245,76.1245,76.1245,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Monaco,MCO,0,42.1849,80.3,87,90.7,92.4,93.3633,95.2082,97.053,97.053,97.053,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mongolia,MNG,0,1.25565,12.5,16.4,17.7,19.9424,22.5,22.2658,23.7143,23.7143,51.08,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Montenegro,MNE,..,..,35.6115,56.8388,60.31,61,68.1196,69.8816,71.2723,71.5173,73.4767,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Morocco,MAR,0,0.693791,46.1075,55.4161,56,56.8,57.08,58.2712,61.7622,64.8039,74.3763,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mozambique,MOZ,0,0.109593,4.3,6,7.29394,9.23631,16.9335,17.5212,10,10,10,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Myanmar,MMR,0,0.000151709,0.98,4,8,11.52,21.7258,25.0733,30.6782,30.6782,30.6782,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Namibia,NAM,0,1.64474,12,12.9414,13.9,14.84,25.6879,31.0333,51,51,51,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nauru,NRU,0,..,54,54,54,54,54,54,57,57,57,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nepal,NPL,0,0.204652,9,11.1493,13.3,15.44,17.5816,19.6888,34,34,34,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Netherlands,NLD,0.334387,43.9844,91.42,92.86,93.9564,91.6667,91.7241,90.411,93.1973,94.7121,93.2886,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Caledonia,NCL,0,13.9395,50,58,66,70,74.0018,74.0018,82.0058,82.0058,82.0058,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Zealand,NZL,0,47.3796,81.23,81.6445,82.78,85.5,88.2229,88.4702,90.8111,90.8111,90.8111,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nicaragua,NIC,0,0.980216,10.6,13.5,15.5,17.6,19.7043,24.5718,27.863,27.863,27.863,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Niger,NER,0,0.0362613,0.9,1.05,1.15,1.24868,2.47622,4.32276,10.2243,5.25049,5.25049,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nigeria,NGA,0,0.0640808,13.8,16.1,19.1,21,36,25.67,42,42,42,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,North Macedonia,MKD,0,2.48557,56.7,57.4499,65.24,68.06,70.3802,72.1568,74.5168,79.1678,79.1678,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Northern Mariana Islands,MNP,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Norway,NOR,0.707299,52,93.49,94.65,95.0534,96.3,96.8103,97.2982,96.3576,96.4917,98,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Oman,OMN,0,3.52042,48,60,66.45,70.22,73.53,76.8454,80.1856,80.1856,92.4084,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pakistan,PAK,0,0.0553572,9,9.96,10.9,12,14,12.3854,15.51,15.51,17.0709,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Palau,PLW,0,..,..,..,..,..,..,..,..,..,..,..
